neighborhood,building_id,algorithm,distance_meters,time_minutes,time_seconds,num_traffic_signals,num_crossings,safety_penalties,total_cost,detour_factor,straight_line_distance,num_path_nodes,avg_walking_speed_kmh,signal_density_per_100m,nodes_expanded_forward,nodes_expanded_backward,edges_scanned_forward,edges_scanned_backward,expansions_total,edges_scanned_total
neighborhoodD,615324535,safest path,867.8862482804444,11.351432105317226,681.0859263190335,2,0,1760.0,2627.8862482804448,1.5328152035052323,566.2040970729985,42,4.587366106205631,0.2304449464388483,278,282,759,758,560,1517
neighborhoodD,615324535,fastest path,854.4058050894388,11.271349977539092,676.2809986523455,2,0,2120.0,676.2809986523455,1.5090067512868661,566.2040970729985,41,4.5481994976221145,0.23408080657769417,72,123,204,342,195,546
neighborhoodD,615324536,shortest path,847.8273006632677,11.594776968817188,695.6866181290312,2,0,3480.0,847.8273006632677,1.5747425535939277,538.391052383978,43,4.387289050630648,0.23589709819858015,19,120,53,331,139,384
neighborhoodD,615324536,few_traffic_lights path,847.8273006632677,11.594776968817188,695.6866181290312,2,0,3480.0,736.7395552321436,1.5747425535939277,538.391052383978,43,4.387289050630648,0.23589709819858015,555,698,1424,1752,1253,3176
neighborhoodD,615324536,safest path,918.8073628100371,11.9582281075393,717.493686452358,2,0,1810.0,2728.807362810037,1.70657992687952,538.391052383978,44,4.610084476800155,0.21767348423104646,261,326,713,865,587,1578
neighborhoodD,615324536,fastest path,854.7012821774675,11.325849657539516,679.5509794523709,2,0,2260.0,679.5509794523709,1.5875101905815079,538.391052383978,41,4.527879009634393,0.2339998829655115,56,167,156,448,223,604
neighborhoodD,971782365,shortest path,719.2854105420721,10.140610135994471,608.4366081596683,2,0,3010.0,719.2854105420721,1.9087153209590753,376.84268714344034,49,4.255870608745377,0.27805374204555994,62,183,143,501,245,644
neighborhoodD,971782365,few_traffic_lights path,719.2854105420721,10.140610135994471,608.4366081596683,2,0,3010.0,691.7498936897252,1.9087153209590753,376.84268714344034,49,4.255870608745377,0.27805374204555994,460,718,1138,1785,1178,2923
neighborhoodD,971782365,safest path,738.0215180868948,9.988088469849334,599.28530819096,2,0,1660.0,2398.021518086896,1.9584339653272254,376.84268714344034,46,4.43340997818391,0.2709948085503544,131,292,328,780,423,1108
neighborhoodD,971782365,fastest path,724.5410748958892,9.9080063420712,594.480380524272,2,0,2020.0,594.480380524272,1.9226618947765381,376.84268714344034,45,4.387609675738837,0.27603680029974614,68,218,160,591,286,751
neighborhoodD,996646244,shortest path,752.6363548178819,12.515760542379022,750.9456325427414,6,0,4220.0,752.6363548178819,1.7305104086519112,434.92159946278207,36,3.608105247472971,0.7971977385349451,69,166,162,456,235,618
neighborhoodD,996646244,few_traffic_lights path,831.1086511808215,11.465653543405242,687.9392126043145,2,0,3330.0,730.8880279132876,1.9109390110939817,434.92159946278207,53,4.349208606563145,0.2406424234855987,521,712,1290,1768,1233,3058
neighborhoodD,996646244,safest path,849.8447587256442,11.313131877260103,678.7879126356062,2,0,1980.0,2829.8447587256437,1.9540182869174072,434.92159946278207,50,4.507212156346572,0.23533709886015322,215,356,554,931,571,1485
neighborhoodD,996646244,fastest path,836.3643155346385,11.23304974948197,673.9829849689181,2,0,2340.0,673.9829849689181,1.9230231760568366,434.92159946278207,49,4.467340575465051,0.23913024059635032,114,275,273,727,389,1000
neighborhoodD,1009305347,shortest path,856.1051365816528,12.38483768249759,743.0902609498554,3,0,2580.0,856.1051365816528,1.3723641573236234,623.817761497957,50,4.1475156567849645,0.3504242495236879,63,67,146,188,130,334
neighborhoodD,1009305347,few_traffic_lights path,1295.9739081216924,17.093224965744607,1025.5934979446765,2,0,5320.0,893.5908678425924,2.077487991059608,623.817761497957,77,4.549079219581562,0.15432409460300642,532,751,1293,1847,1283,3140
neighborhoodD,1009305347,safest path,962.3425812088336,13.078537009180417,784.712220550825,3,0,2440.0,3402.342581208835,1.5426662089549774,623.817761497957,54,4.414909315315567,0.31173929727099786,189,378,449,976,567,1425
neighborhoodD,1009305347,fastest path,856.1051365816528,12.38483768249759,743.0902609498554,3,0,2580.0,743.0902609498554,1.3723641573236234,623.817761497957,50,4.1475156567849645,0.3504242495236879,91,144,211,390,235,601
neighborhoodD,1009305350,shortest path,822.2317704548813,12.005634367905467,720.338062074328,3,0,2850.0,822.2317704548813,1.3750602401693055,597.9605448803052,46,4.109229443066888,0.36486062784223444,66,73,152,199,139,351
neighborhoodD,1009305350,few_traffic_lights path,1262.1005419949208,16.714021651152486,1002.841299069149,2,0,5590.0,881.7351896982224,2.1106752825097477,597.9605448803052,73,4.530688909001964,0.15846598059760986,479,744,1161,1832,1223,2993
neighborhoodD,1009305350,safest path,928.4692150820621,12.699333694588294,761.9600216752976,3,0,2710.0,3638.4692150820633,1.5527265519966964,597.9605448803052,50,4.386698880797443,0.32311249002853015,142,390,336,1006,532,1342
neighborhoodD,1009305350,fastest path,822.2317704548813,12.005634367905467,720.338062074328,3,0,2850.0,720.338062074328,1.3750602401693055,597.9605448803052,46,4.109229443066888,0.36486062784223444,80,139,182,378,219,560
neighborhoodD,1009305351,shortest path,831.4339727673101,12.11924180386138,727.1545082316828,3,0,2940.0,831.4339727673101,1.3750323933452808,604.665007741771,47,4.116267269305919,0.36082239820137796,66,76,152,208,142,360
neighborhoodD,1009305351,few_traffic_lights path,1271.30274430735,16.8276290871084,1009.657745226504,2,0,5680.0,884.9559605075726,2.1024910124289415,604.665007741771,74,4.532912168647543,0.15731893987923937,478,743,1159,1830,1221,2989
neighborhoodD,1009305351,safest path,937.6714173944911,12.812941130544207,768.7764678326524,3,0,2800.0,3737.6714173944924,1.5507287595430597,604.665007741771,51,4.390895460336819,0.3199415002257512,134,409,320,1047,543,1367
neighborhoodD,1009305351,fastest path,831.4339727673101,12.11924180386138,727.1545082316828,3,0,2940.0,727.1545082316828,1.3750323933452808,604.665007741771,47,4.116267269305919,0.36082239820137796,80,141,182,382,221,564
neighborhoodD,1041151051,shortest path,644.7547460581249,9.853734519652658,591.2240711791595,3,0,2060.0,644.7547460581249,1.5285469690341202,421.8089199218664,28,3.9259515959489373,0.4652932015376819,45,156,96,426,201,522
neighborhoodD,1041151051,few_traffic_lights path,1218.714301735962,16.077661139652648,964.6596683791588,2,0,4060.0,866.5500056075867,2.8892568273845654,421.8089199218664,67,4.548102952848869,0.1641073709524175,468,803,1138,1982,1271,3120
neighborhoodD,1041151051,safest path,761.5632737612298,10.645129832664292,638.7077899598576,3,0,1730.0,2491.56327376123,1.8054698177134274,421.8089199218664,34,4.292460227724383,0.39392655913979635,97,294,236,787,391,1023
neighborhoodD,1041151051,fastest path,644.7547460581249,9.853734519652658,591.2240711791595,3,0,2060.0,591.2240711791595,1.5285469690341202,421.8089199218664,28,3.9259515959489373,0.4652932015376819,57,183,127,500,240,627
neighborhoodD,1041151052,shortest path,625.7738715582648,9.611752832696592,576.7051699617955,3,0,1870.0,625.7738715582648,1.4322532921799653,436.9156454203738,29,3.9063043907842747,0.47940640163348125,55,137,122,373,192,495
neighborhoodD,1041151052,few_traffic_lights path,1189.162344160178,15.737983466367773,944.2790079820663,2,0,4060.0,856.2068204560622,2.721720672227331,436.9156454203738,66,4.533601194974298,0.16818561484239225,480,789,1171,1946,1269,3117
neighborhoodD,1041151052,safest path,732.0113161854457,10.305452159379419,618.3271295627651,3,0,1730.0,2462.0113161854456,1.6754065089180974,436.9156454203738,33,4.261887619472641,0.40982972990543065,99,285,241,766,384,1007
neighborhoodD,1041151052,fastest path,625.7738715582648,9.611752832696592,576.7051699617955,3,0,1870.0,576.7051699617955,1.4322532921799653,436.9156454203738,29,3.9063043907842747,0.47940640163348125,61,176,135,483,237,618
neighborhoodD,1050204033,shortest path,1380.9851090081306,18.97648232758311,1138.5889396549867,4,0,7940.0,1380.9851090081306,1.2392627279904884,1114.360238403563,71,4.366410228730784,0.28964830785705814,170,100,441,270,270,711
neighborhoodD,1050204033,few_traffic_lights path,1508.5697388813244,19.98614225779687,1199.1685354678123,3,0,7440.0,1187.9994086084637,1.3537540975461468,1114.360238403563,75,4.52884719649029,0.1988638591030363,416,754,1035,1874,1170,2909
neighborhoodD,1050204033,safest path,1920.300100335034,25.211873296642352,1512.7123977985411,4,1,2970.0,4890.300100335032,1.7232309931356342,1114.360238403563,96,4.5699898878774095,0.20830077545182243,725,597,1747,1489,1322,3236
neighborhoodD,1050204033,fastest path,1372.9009640920597,18.612556309371676,1116.7533785623007,4,0,6860.0,1116.7533785623007,1.2320082113292943,1114.360238403563,67,4.425725111388762,0.29135386343364683,322,258,815,685,580,1500
neighborhoodOldV,361968022,shortest path,1689.1071650749543,23.135368782433048,1388.122126945983,5,0,4810.0,1689.1071650749543,1.6919767946857682,998.3039781515757,51,4.380584154830969,0.2960143739475597,62,336,146,867,398,1013
